song_name,artists,year,spotify_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_popularity,artist_id,genres
For the Love of You (Part 1 & 2),The Isley Brothers,1975.0,7teF2kwC3GL00mQfwtxzo9,0.665,0.686,0.374,1.91e-05,11.0,0.101,-11.029,0.0,0.0439,102.879,4.0,0.693,59.0,53QzNeFpzAaXYnrDBbDrIp,"classic soul,funk,motown,quiet storm,soul"
The Advent of Panurge,Gentle Giant,1972.0,7BCG8qrwGFsTMT3R4AhF10,0.39,0.527,0.44,0.0694,11.0,0.0944,-17.608,0.0,0.0691,94.289,4.0,0.238,28.0,1hrQ50kU6hMQBVLatqUqnO,"progressive rock,symphonic rock,zolo"
We Must Be in Love,The Impressions,1969.0,1ZgP9d8OaiBCUQKOrvbAsH,0.175,0.56,0.849,8.27e-05,5.0,0.28,-6.108,0.0,0.0422,97.473,4.0,0.866,35.0,1b1N51wmSK0ckxFAMPSSHO,"chicago soul,classic soul,funk,quiet storm,soul"
Toccata and Fugue in D Minor,Mike Hankinson,1972.0,5cYyCE4b3T5TdQ3sGg8CYc,0.87,0.117,0.0492,0.291,2.0,0.0873,-25.341,0.0,0.036,76.49,4.0,0.0669,50.0,5aIqB5nVVvmFsvSdExz408,"baroque,classical,early music,german baroque"
Take Me to the Mardi Gras,Bob James,1975.0,6i5U5NyCknF93w4BilFity,0.18,0.477,0.731,0.845,10.0,0.0504,-8.599,1.0,0.0282,106.35,4.0,0.9,35.0,6ryjbFyWBZho9KGXqKZdqQ,"jazz funk,jazz piano,smooth jazz"
Baby,J Dilla feat. Madlib and Guilty Simpson,2006.0,0wotldYXx2K5HH0CwhzYrX,0.369,0.478,0.812,0.0,11.0,0.278,-5.709,0.0,0.423,89.041,4.0,0.768,39.0,0IVcLMMbm05VIjnzPkGCyp,"alternative hip hop,detroit hip hop,hip hop,instrumental hip hop"
Light My Fire,Africa,1968.0,5EWMey6EWacf5tu8X2JOeQ,0.426,0.686,0.589,0.0,5.0,0.265,-11.715,0.0,0.0304,100.068,4.0,0.926,36.0,4bszODJhbxkwHlq0Inh6VU,psychedelic soul
Two Lovers History,Mary Wells,1968.0,00CmjeeHvAVKvx3tcIiZTy,0.426,0.678,0.405,0.0,2.0,0.109,-16.965,1.0,0.0304,105.902,4.0,0.96,49.0,1cjZk1xXn3YCToNg3uJpA7,"classic soul,motown,soul"
Via Beato Angelico,Perigeo,1974.0,6JEevQAcV4n1uhhZTxp7Zs,0.969,0.203,0.105,0.544,10.0,0.141,-22.814,0.0,0.0444,141.819,4.0,0.0462,45.0,3ePHoPWDrxEt93wK19jxi0,gregorian chant
Watermelon Man,Herbie Hancock,1973.0,2zQl59dZMzwhrmeSBEgiXY,0.262,0.724,0.414,0.111,1.0,0.0785,-11.19,1.0,0.0588,146.939,4.0,0.719,58.0,2ZvrvbQNrHKwjT7qfGFFUW,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano"
Nautilus,Bob James,1974.0,2emP5oaNH6cwFsugIPqVau,0.0405,0.499,0.532,0.00896,9.0,0.152,-14.182,0.0,0.0283,98.382,4.0,0.761,41.0,6ryjbFyWBZho9KGXqKZdqQ,"jazz funk,jazz piano,smooth jazz"
